Player,Salary,Ht,Exp,expsq
Skal Labissiere,1188840,6.92,0,0
Ty Lawson,1315448,5.92,7,49
Ben McLemore,4008882,6.42,3,9
Georgios Papagiannis,2202240,7.08,0,0
Malachi Richardson,1439880,6.5,0,0
Garrett Temple,8000000,6.5,6,36
Anthony Tolliver,8000000,6.67,8,64
Quincy Acy,1050961,6.58,4,16
J.J. Barea,4096950,6,10,100
Harrison Barnes,22116750,6.67,4,16
Ben Bentil,31969,6.75,0,0
Nicolas Brussino,543471,6.58,0,0
Quinn Cook,31969,6.17,0,0
Seth Curry,2898000,6.17,3,9
Yogi Ferrell,239767,6,0,0
Dorian Finney-Smith,543471,6.67,0,0
Jonathan Gibson,680937,6.17,0,0
A.J. Hammons,650000,7,0,0
Devin Harris,4228000,6.25,12,144
Manny Harris,119494,6.42,3,9
Pierre Jackson,105498,5.83,0,0
DeAndre Liggins,1015696,6.5,3,9
Wesley Matthews,17100000,6.42,7,49
Salah Mejri,874636,7.08,1,1
Nerlens Noel,4384490,6.92,2,4
Dirk Nowitzki,25000000,7,18,324
Dwight Powell,8375000,6.92,2,4
Jarrod Uthoff,63938,6.75,0,0
Deron Williams,9000000,6.25,11,121
Tony Allen,5505618,6.33,12,144
Wade Baldwin,1793760,6.33,0,0
Vince Carter,4264057,6.5,18,324
Mike Conley,26540100,6.08,9,81
Troy Daniels,3332940,6.33,3,9
Deyonta Davis,1369229,6.92,0,0
Toney Douglas,603558,6.17,7,49
James Ennis,2898000,6.58,2,4
Marc Gasol,21165675,7.08,8,64
JaMychal Green,980431,6.75,2,4
Andrew Harrison,945000,6.5,0,0
Jarell Martin,1286160,6.83,1,1
Chandler Parsons,22116750,6.83,5,25
Zach Randolph,10361445,6.75,15,225
Wayne Selden,83119,6.42,0,0
Troy Williams,543471,6.58,0,0
Brandan Wright,5700000,6.83,8,64
Leandro Barbosa,4000000,6.25,13,169
Dragan Bender,4276320,7.08,0,0
Eric Bledsoe,14000000,6.08,6,36
Devin Booker,2223600,6.5,1,1
Tyson Chandler,12415000,7.08,15,225
Marquese Chriss,2941440,6.83,0,0
Jared Dudley,10470000,6.58,9,81
Jarell Eddie,102898,6.58,1,1
John Jenkins,469841,6.33,4,16
Derrick Jones,543471,6.58,0,0
Brandon Knight,12606250,6.25,5,25
Alex Len,4823621,7.08,3,9
Elijah Millsap,23069,6.5,2,4
Ronnie Price,465143,6.17,11,121
Tyler Ulis,918369,5.83,0,0
T.J. Warren,2128920,6.67,2,4
Alan Williams,874636,6.67,1,1
